0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
JLPT-N3	374	国語	こくご	Noun	1.-national language	2.-Japanese language (often as a school subject in Japan)	3.-native Japanese words (as opposed to loanwords)	4.-National language																
JLPT-N3	375	礼	れい	Noun	1.-thanks; gratitude	2.-manners; etiquette	3.-bow	4.-reward; gift	5.-ceremony; ritual	6.-Li (Confucian)														
JLPT-N3	376	体育	たいいく	Noun	1.-physical education	2.-Physical education																		
JLPT-N3	377	豆	まめ	Noun	1.-legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.); beans; peas	2.-soya bean (Glycine max); soybean; soy	3.-female genitalia (esp. the clitoris)	4.-kidney	5.-miniature; tiny	6.-child	7.-Bean													
JLPT-N3	378	筆	ふで	Noun	1.-writing brush; paintbrush; pen	2.-writing with a brush; drawing with a brush; penmanship; something drawn with a brush	3.-writing (composing text); the written word	4.-(land) lot; plot	5.-Ink brush															
JLPT-N3	379	句	く	Noun, Noun - used as a suffix	1.-section (i.e. of text); sentence; passage; paragraph	2.-phrase	3.-verse (of 5 or 7 mora in Japanese poetry; of 4, 5, or 7 characters in Chinese poetry)	4.-haiku; first 17 morae of a renga, etc.	5.-maxim; saying; idiom; expression	6.-Phrase														
JLPT-N3	380	粉	こな	Noun	1.-flour; meal; powder; dust	2.-Powder (substance)																		
JLPT-N3	381	作曲	さっきょく	Noun, Suru verb	1.-composition; setting (of music)	2.-Musical composition																		
JLPT-N3	382	土産	みやげ	Noun	1.-local specialty or souvenir bought as a gift while travelling	2.-present brought by a visitor	3.-something unpleasant that one is given (e.g. an illness while on vacation); unwelcome gift; disservice	4.-Souvenir																
JLPT-N3	383	刀	かたな	Noun	1.-(single-edged) sword; katana	2.-dagger; knife	3.-scalpel	4.-chisel; burin; graver	5.-knife money; knife-shaped commodity money used in Zhou dynasty China	6.-Backsword														
JLPT-N3	384	茶	ちゃ	Noun	1.-tea	2.-tea plant (Camellia sinensis)	3.-tea preparation; making tea	4.-brown	5.-mockery	6.-Tea														
JLPT-N3	385	泡	あわ	Noun	1.-bubble; foam; froth; head on beer	2.-Foam																		
JLPT-N3	386	熱帯	ねったい	Noun	1.-tropics	2.-Tropics																		
JLPT-N3	387	電子	でんし	Noun	1.-electron	2.-electronic	3.-Electron																	
JLPT-N3	388	菓子	かし	Noun	1.-confectionery; sweets; candy; cake	2.-Confectionery																		
JLPT-N3	389	梅	うめ	Noun	1.-Japanese apricot (Prunus mume); Japanese plum; ume; Chinese plum	2.-lowest (of a three-tier ranking system)	3.-Prunus mume																	
JLPT-N3	390	飯	めし	Noun	1.-cooked rice	2.-meal; food	3.-one's livelihood	4.-Steamed rice																
JLPT-N3	391	能	のう	Noun	1.-talent; gift; function	2.-noh (theatre)	3.-Noh																	
JLPT-N3	392	月	つき	Noun	1.-moon	2.-month	3.-Moon																	
JLPT-N3	393	馬鹿	馬鹿ばか	Noun	1.-idiot; moron; fool	2.-trivial matter; folly; absurdity	3.-stupid; foolish; dull; absurd; ridiculous	4.-fervent enthusiast; nut; person singularly obsessed with something	5.-Mactra chinensis (species of trough shell)	6.-Baka (fool)														
JLPT-N3	394	屡々	しばしば	Adverb	1.-often; again and again; frequently; repeatedly	2.-Number																		
JLPT-N3	395	退屈	たいくつ	Noun, Na-adjective	1.-tedium; boredom; dullness	2.-to feel bored; to get bored with; to get tired of	3.-Boredom																	
JLPT-N3	396	流れる	なが	Ichidan verb, intransitive verb	1.-to stream; to flow (liquid, time, etc.); to run (ink)	2.-to be washed away; to be carried	3.-to drift; to float (e.g. clouds); to wander; to stray	4.-to sweep (e.g. rumour, fire); to spread; to circulate	5.-to be heard (e.g. music); to be played	6.-to lapse (e.g. into indolence, despair)	7.-to pass; to elapse; to be transmitted	8.-to be called off; to be forfeited	9.-to disappear; to be removed	10.-Nagareru										
JLPT-N3	397	暗記	あんき	Noun, Suru verb	1.-memorization; memorisation; learning by heart	2.-Rote learning																		
JLPT-N3	398	兎	うさぎ	Noun	1.-rabbit; hare; coney; cony; lagomorph (esp. leporids)	2.-Rabbit																		
JLPT-N3	399	鼠	ねずみ	Noun	1.-mouse; rat	2.-dark gray; dark grey; slate (color, colour)	3.-Muroidea																	
JLPT-N3	400	頬	ほお	Noun	1.-cheek (of face)	2.-Cheek																		
JLPT-N3	401	膝	ひざ	Noun	1.-knee	2.-lap; knee and thigh (while sitting)	3.-Knee	4.-ヒザ																
JLPT-N3	402	餌	えさ	Noun	1.-(animal) feed; fodder; pet food	2.-bait; lure; enticement	3.-Bait (luring substance)																	
JLPT-N3	403	量	りょう	Noun, Noun - used as a suffix	1.-quantity; amount; volume; capacity; portion (of food)	2.-generosity; magnanimity; tolerance	3.-pramana; (in Indian philosophy) means by which one gains accurate and valid knowledge	4.-Quantity																
JLPT-N3	404	莫大	ばくだい	Na-adjective	1.-vast; huge; immense; enormous; colossal	2.-malva nut (Sterculia lychnophora)	3.-Sterculia lychnophora																	
JLPT-N3	405	式	しき	Noun, Noun - used as a suffix	1.-equation; formula; expression	2.-ceremony	3.-style	4.-enforcement regulations (of the ritsuryo)	5.-Expression															
JLPT-N3	406	紐	ひも	Noun	1.-string; cord	2.-man who is financially dependent on a woman; gigolo; pimp	3.-Twine	4.-ヒモ																
JLPT-N3	407	連想	れんそう	Noun, Suru verb, No-adjective	1.-association (of ideas); being reminded (of something); suggestion	2.-Association (psychology)																		
JLPT-N3	408	地平線	ちへいせん	Noun	1.-horizon (related to land)	2.-Horizon																		
JLPT-N3	409	場	ば	Noun	1.-place; spot; space	2.-field; discipline; sphere; realm	3.-occasion; situation	4.-scene (of a play, movie, etc.)	5.-session (of the stock market)	6.-area in which cards are laid out (in a card game)	7.-round (i.e. east, south, etc.)	8.-field	9.-field (gestalt psychology)	10.-Field (physics)										
JLPT-N3	410	袖	そで	Noun	1.-sleeve	2.-wing (of a stage, desk, gate, etc.)	3.-Sleeve																	
JLPT-N3	411	動詞	どうし	Noun, No-adjective	1.-verb	2.-Verb																		
JLPT-N3	412	灰	はい	Noun	1.-ash; ashes	2.-Ash (analytical chemistry)																		
JLPT-N3	413	秒	びょう	Noun	1.-second (unit of time)	2.-arc second	3.-Second																	
JLPT-N3	414	県	けん	Noun, Noun - used as a suffix	1.-prefecture (Japan); county (China, Taiwan, Norway, etc.); department (France); province (Italy, Spain, etc.)	2.-Prefecture																		
JLPT-N3	415	帯	おび	Noun	1.-obi; kimono sash	2.-paper wrapper on books, CDs, etc.	3.-band; belt; strip	4.-cingulum	5.-radio or television program broadcast in the same time slot on all or most days	6.-Obi (sash)														
JLPT-N3	416	有る	あ	Godan verb with ru ending (irregular verb), intransitive verb	1.-to be; to exist; to live	2.-to have	3.-to be located	4.-to be equipped with	5.-to happen; to come about															
JLPT-N3	417	其の	そ	Pre-noun adjectival	1.-that; the	2.-um...; er...; uh...	3.-そん																	
JLPT-N3	418	言う	い	Godan verb with u ending	1.-to say; to utter; to declare	2.-to name; to call	"3.-to go (e.g. ""the alarm went ping""); to make a noise"																	
JLPT-N3	419	出来る	でき	Ichidan verb, intransitive verb	1.-to be able (in a position) to do; to be up to the task	2.-to be ready; to be completed	3.-to be made; to be built	4.-to be good at; to be permitted (to do)	5.-to become intimate; to take up (with somebody)	6.-to grow; to be raised	7.-to become pregnant													
JLPT-N3	420	良い	よ	I-adjective	1.-good; excellent; fine; nice; pleasant; agreeable	2.-sufficient; enough; ready; prepared	3.-profitable (deal, business offer, etc.); beneficial	4.-OK; all right; fine; no problem																
JLPT-N3	421	此の	こ	Pre-noun adjectival	1.-this	2.-last (couple of years, etc.); these; past; this	"3.-you (as in ""you liar"")"																	
JLPT-N3	422	何	なに	Pronoun	1.-what	2.-how many	3.-large number of; many	4.-you-know-what; that	5.-whatsit; what's the expression; what do you call them	6.-what?	7.-hey!													
JLPT-N3	423	今日	きょう	Temporal noun	1.-today; this day	2.-these days; recently; nowadays																		
JLPT-N3	424	皆	みんな	Adverb, Noun	1.-all; everyone; everybody	2.-everything																		
JLPT-N3	425	勉強	べんきょう	Noun, Suru verb	1.-study	2.-diligence	3.-discount; reduction																	
JLPT-N3	426	後ろ	うし	Noun, No-adjective	1.-back; behind; rear																			
JLPT-N3	427	町	まち	Noun	1.-town; block; neighbourhood; neighborhood	2.-downtown; main street	3.-street; road	4.-109.09 m	5.-0.99 hectares															
JLPT-N3	428	又	また	Adverb	1.-again; once more; once again; another time; some other time	2.-also; too; as well; likewise	3.-on the other hand; while	4.-and; in addition; besides; moreover; furthermore	5.-or; otherwise	6.-really; how; (what, why) on earth	7.-indirect													
JLPT-N3	429	余り	あま	Noun, No-adjective	1.-remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers	2.-(not) very; (not) much	3.-too much; excessively; overly	4.-extreme; great; severe; tremendous; terrible	5.-more than; over															
JLPT-N3	430	本当	ほんとう	Noun, No-adjective, Na-adjective	1.-truth; reality; actuality; fact	2.-proper; right; correct; official	3.-genuine; authentic; real; natural; veritable																	
JLPT-N3	431	体	からだ	Noun, No-adjective	1.-body	2.-torso; trunk	3.-build; physique; constitution	4.-health	5.-corpse; dead body															
JLPT-N3	432	夕べ	ゆう	Adverbial noun, Temporal noun	1.-evening	2.-last night; yesterday evening																		
JLPT-N3	433	上る	のぼ	Godan verb with ru ending, intransitive verb	1.-to ascend; to go up; to climb	2.-to ascend (as a natural process, e.g. the Sun); to rise	3.-to go to (the capital)	4.-to be promoted	5.-to add up to	6.-to advance (in price)	7.-to swim up (a river); to sail up	8.-to come up (on the agenda)												
JLPT-N3	434	魚	さかな	Noun	1.-fish																			
JLPT-N3	435	暖かい	あたた	I-adjective	1.-warm; mild; (pleasantly) hot	2.-considerate; kind; genial	3.-warm (of a colour); mellow	4.-having enough money																
JLPT-N3	436	立派	りっぱ	Na-adjective	1.-splendid; fine; handsome; elegant; imposing; prominent	2.-praiseworthy; creditable; worthy	3.-legal; legitimate; lawful	4.-undeniable (e.g. crime); indisputable; solid																
JLPT-N3	437	多分	たぶん	Adverb	1.-perhaps; probably	2.-generous; many; much; great																		
JLPT-N3	438	練習	れんしゅう	Noun, Suru verb	1.-practice; training; drill; (an) exercise; workout																			
JLPT-N3	439	十	じゅう	Numeric	1.-ten	2.-ten years of age																		
JLPT-N3	440	幾つ	いく	Adverb	1.-how many?	2.-how old?																		
JLPT-N3	441	張る	は	Godan verb with ru ending, Transitive verb	1.-to stick; to paste; to affix	2.-to stretch; to spread; to strain; to tighten; to put up (tent)	3.-to form (e.g. ice on a pond)	4.-to fill; to swell	5.-to stick out; to put; to slap	6.-to be expensive	7.-to keep a watch on; to be on the lookout	8.-to become one tile away from completion	9.-to span; to generate											
JLPT-N3	442	丸い	まる	I-adjective	1.-round; circular; spherical	2.-curved; smooth	3.-harmonious; calm; peaceful; amiable; amicable																	
JLPT-N3	443	浴びる	あ	Ichidan verb, Transitive verb	1.-to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in	2.-to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with																		
JLPT-N3	444	縦	たて	Noun	1.-the vertical; height	2.-front-to-back; length	3.-north-to-south	4.-vertical (relationship); hierarchy	5.-(weaving) warp															
JLPT-N3	445	其れ	そ	Pronoun	1.-that (indicating an item or person near the listener, the action of the listener, or something on their mind); it	2.-that time; then	3.-there (indicating a place near the listener)	4.-you																
JLPT-N3	446	何時も	いつ	Adverb, Noun	1.-always; usually; every time	2.-never																		
JLPT-N3	447	掛かる	か	Godan verb with ru ending, intransitive verb	1.-to take (a resource, e.g. time or money)	2.-to hang	3.-to come into view; to arrive	4.-to come under (a contract, a tax)	5.-to start (engines, motors)	6.-to attend; to deal with; to handle	7.-to have started to; to be on the verge of	8.-to overlap (e.g. information in a manual); to cover	9.-to (come) at	10.-to be fastened	11.-to be covered (e.g. with dust, a table-cloth, etc.)	12.-to be caught in	13.-to get a call	14.-to depend on						
JLPT-N3	448	開ける	あ	Ichidan verb, Transitive verb	1.-to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock	2.-to open (for business, etc.)	3.-to empty; to remove; to make space; to make room	4.-to move out; to clear out	5.-to be away from (e.g. one's house); to leave (temporarily)	6.-to dawn; to grow light	7.-to end (of a period, season)	8.-to begin (of the New Year)	9.-to leave (one's schedule) open; to make time (for)	10.-to make (a hole); to open up (a hole)										
JLPT-N3	449	付ける	つ	Ichidan verb, Transitive verb	1.-to attach; to join; to add; to append; to affix; to stick; to glue; to fasten; to sew on; to apply (ointment)	2.-to furnish (a house with)	3.-to wear; to put on	4.-to keep a diary; to make an entry	5.-to appraise; to set (a price)	6.-to allot; to budget; to assign	7.-to bring alongside	8.-to place (under guard or doctor)	9.-to follow; to shadow	10.-to load; to give (courage to)	11.-to keep (an eye on)	12.-to establish (relations or understanding)	13.-to turn on (light)	14.-to produce flowers; to produce fruit						
JLPT-N3	450	幾ら	いく	Adverb, Noun	1.-how much?; how many?	2.-even; even if																		
JLPT-N3	451	真っ直ぐ	ます	Na-adjective, Adverb, Noun	1.-straight (ahead); direct; upright; erect	2.-straightforward; honest; frank																		
JLPT-N3	452	お腹	なか	Noun	1.-belly; abdomen; stomach																			
JLPT-N3	453	と		Particle, Conjunction	1.-if; when	2.-and	3.-with	4.-used for quoting (thoughts, speech, etc.)	5.-promoted pawn	6.-indicates a question	7.-To (kana)													
JLPT-N3	454	大抵	たいてい	Na-adjective, Adverb, Noun	1.-mostly; ordinarily; usually; generally	2.-probably	3.-most; almost all	4.-ordinary	5.-proper; appropriate; moderate															
JLPT-N3	455	値段	ねだん	Noun	1.-price; cost																			
JLPT-N3	456	形	かたち	Noun	1.-form; shape; figure	2.-visage																		
JLPT-N3	457	遠慮	えんりょ	Noun, Suru verb	1.-reserve; constraint; restraint; modesty; diffidence; hesitation; holding back; discretion; tact; thoughtfulness	2.-declining; refraining	3.-forethought; foresight																	
JLPT-N3	458	止める	と	Ichidan verb, Transitive verb	1.-to stop; to turn off	2.-to park	3.-to prevent; to suppress (a cough); to hold back (tears); to hold (one's breath); to relieve (pain)	4.-to stop (someone from doing something); to dissuade; to forbid; to prohibit	5.-to notice; to be aware of; to concentrate on; to pay attention to; to remember; to bear in mind	6.-to fix (in place); to fasten; to tack; to pin; to nail; to button; to staple	7.-to detain; to keep in custody													
JLPT-N3	459	褒める	ほ	Ichidan verb, Transitive verb	1.-to praise; to admire; to speak well of someone																			
JLPT-N3	460	硬い	かた	I-adjective	1.-hard; solid; tough	2.-stiff; tight; wooden; unpolished (e.g. writing)	3.-strong; firm (not viscous or easily moved)	4.-safe; steady; honest; steadfast	5.-obstinate; stubborn	6.-bookish; formal; stuffy														
JLPT-N3	461	凄い	すご	I-adjective	1.-terrible; dreadful	2.-amazing (e.g. of strength); great (e.g. of skills); wonderful; terrific	3.-to a great extent; vast (in numbers)	4.-awfully; very; immensely	5.-スゴイ、スゴい															
JLPT-N3	462	濡れる	ぬ	Ichidan verb, intransitive verb	1.-to get wet																			
JLPT-N3	463	外出	がいしゅつ	Noun, Suru verb	1.-going out; outing; leaving (one's home, office, etc.)	2.-Sotode																		
JLPT-N3	464	当時	とうじ	Adverbial noun, Temporal noun	1.-at that time; in those days	2.-Touji																		
JLPT-N3	465	案内	あんない	Noun, Suru verb	1.-guidance; leading (the way); showing around	2.-information; notice; notification	3.-announcement (of one's arrival)	4.-invitation	5.-acquaintance; knowledge	6.-Annai														
JLPT-N3	466	地方	ちほう	Noun	1.-district; region; area; locality	2.-the country; countryside; the provinces; rural area	3.-civilian society	4.-Jikata																
JLPT-N3	467	一方	いっぽう	Noun	1.-one (esp. of two); the other; one way; the other way; one direction; the other direction; one side; the other side; one party; the other party	2.-on the one hand; on the other hand	3.-whereas; although; but at the same time; meanwhile; in turn	4.-just keeps; being inclined to ...; tending to be ...; tending to do ...; continuously ...; just keeps on ...ing; only	5.-Ippou															
JLPT-N3	468	発展	はってん	Noun, Suru verb	1.-development; growth; expansion; extension; flourishing	2.-development (of a situation, story, etc.); advancement; progression; unfolding	3.-playing around; having an active sex life	4.-Hatten																
JLPT-N3	469	双子	ふたご	Noun	1.-twins; twin	2.-Futago																		
JLPT-N3	470	団体	だんたい	Noun	1.-organization; organisation; association	2.-Dantai																		
JLPT-N3	471	夜中	よなか	Adverbial noun, Temporal noun	1.-middle of the night; dead of night	2.-Yonaka																		
JLPT-N3	472	中央	ちゅうおう	Noun, No-adjective	1.-centre; center; middle; heart	2.-metropolis; capital city; central government	3.-Chuuou																	
JLPT-N3	473	共同	きょうどう	Noun, Suru verb, No-adjective	1.-doing together (as equals); sharing; common (land, etc.); joint (statement, etc.); cooperation; co-operation; collaboration; association	2.-Kyoudou																		
JLPT-N3	474	通り	とお	Adverbial noun, Noun	1.-avenue; street; way; road	2.-coming and going; street traffic	3.-flow (of water, air, etc.)	4.-transmission (of sound); reach (e.g. of voice)	5.-fame; reputation; popularity	6.-the same status or way; as (e.g. as expected, as I said)	7.-understanding; comprehension	8.-counter for sets of things; counter for methods, ways, types	9.-Toori											
JLPT-N3	475	埃	ほこり	Noun	1.-dust	2.-one ten-billionth	3.-Hokori																	
JLPT-N3	476	でも		Conjunction	1.-but; however; though; nevertheless; still; yet; even so; also; as well	2.-even	3.-however; no matter how; even if; even though	4.-... or something	5.-either ... or ...; neither ... nor ...	6.-pseudo-; quack; in-name-only	7.-for lack of anything better to do													
JLPT-N3	477	日	にち	Noun	1.-Sunday	2.-day (of the month)	3.-counter for days	4.-Japan	5.-Nichi															
JLPT-N3	478	等	など	Particle	1.-et cetera; etc.; and the like; and so forth	2.-or something	3.-the likes of																	
JLPT-N3	479	事	こと	Noun	1.-thing; matter	2.-incident; occurrence; event; something serious; trouble; crisis	3.-circumstances; situation; state of affairs	4.-work; business; affair	5.-after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to	6.-nominalizing suffix	7.-pretending to ...; playing make-believe ...	8.-alias; also known as; otherwise known as; or	9.-necessity; need	10.-you should ...; I advise that you ...; it's important to ...										
JLPT-N3	480	欧羅巴	欧羅巴ヨーロッパ	Noun, No-adjective	1.-Europe	2.-Europe																		
JLPT-N3	481	彼ら	かれ	Pronoun	1.-they; them																			
JLPT-N3	482	我々	われわれ	Pronoun	1.-we																			
JLPT-N3	483	方	ほう	Noun	1.-direction; way; side; area (in a particular direction)	2.-side (of an argument, etc.); one's part	3.-type; category	4.-field (of study, etc.)	5.-indicates one side of a comparison	6.-way; method; manner; means	7.-length (of each side of a square)													
JLPT-N3	484	成功	せいこう	Noun, Suru verb	1.-success; hit																			
JLPT-N3	485	尻	しり	Noun	1.-buttocks; behind; rump; bottom; hips	2.-undersurface; bottom	3.-last place; end	4.-consequence																
JLPT-N3	486	出発	しゅっぱつ	Noun, Suru verb	1.-departure																			
JLPT-N3	487	起こる	お	Godan verb with ru ending, intransitive verb	1.-to occur; to happen																			
JLPT-N3	488	考え	かんが	Noun	1.-thinking; thought; view; opinion; concept	2.-idea; notion; imagination	3.-intention; plan; design	4.-consideration; judgement; deliberation; reflection	5.-wish; hope; expectation															
JLPT-N3	489	何も	なに	Expression	1.-(not) anything; (nothing) at all; (not) any; nothing	2.-and everything else; and all	3.-(not) at all; (not) in the least; (not) especially; (not) to that extent																	
JLPT-N3	490	友人	ゆうじん	Noun	1.-friend																			
JLPT-N3	491	努力	どりょく	Noun, Suru verb	1.-effort; exertion; endeavour; endeavor; hard work; striving																			
JLPT-N3	492	終える	お	Ichidan verb, Transitive verb, Auxiliary verb	1.-to finish	2.-to graduate																		
JLPT-N3	493	最も	もっと	Adverb	1.-most; extremely																			
JLPT-N3	494	素晴らしい	すば	I-adjective	1.-wonderful; splendid; magnificent																			
JLPT-N3	495	運転	うんてん	Noun, Suru verb, No-adjective	1.-operation (of a machine, etc.); operating; running; run	2.-driving	3.-working (capital, etc.)																	
JLPT-N3	496	重要	じゅうよう	Na-adjective, Noun	1.-important; momentous; essential; principal; major																			
JLPT-N3	497	助ける	たす	Ichidan verb, Transitive verb	1.-to save; to rescue	2.-to help; to assist	3.-to support (financially); to contribute (to); to provide aid	4.-to facilitate; to stimulate; to promote; to contribute to																
JLPT-N3	498	幸せ	しあわ	Na-adjective, Noun	1.-happiness; good fortune; luck; blessing																			
JLPT-N3	499	心配	しんぱい	Noun, Suru verb, Na-adjective	1.-worry; concern; anxiety; uneasiness; fear	2.-care; help; aid; assistance																		
JLPT-N3	500	感じる	かん	Ichidan verb	1.-to feel; to sense; to experience																			
JLPT-N3	501	提案	ていあん	Noun, Suru verb	1.-proposal; proposition; suggestion																			
JLPT-N3	502	出席	しゅっせき	Noun	1.-attendance; presence; appearance	2.-to attend; to be present; to appear																		
JLPT-N3	503	他人	たにん	Noun	1.-another person; other people; others	2.-unrelated person (i.e. not related by blood)	3.-outsider; stranger																	
JLPT-N3	504	以前	いぜん	Adverbial noun, Temporal noun	1.-ago; since; before; previous																			
JLPT-N3	505	価値	かち	Noun	1.-value; worth; merit																			
JLPT-N3	506	間違い	まちが	Noun	1.-mistake; error; blunder	2.-accident; mishap; trouble	3.-improper conduct (e.g. between man and woman); indiscretion																	
JLPT-N3	507	突然	とつぜん	No-adjective, Na-adjective, Adverb	1.-abrupt; sudden; unexpected																			
JLPT-N3	508	賛成	さんせい	Noun, Suru verb, No-adjective	1.-approval; agreement; support; favour; favor																			
JLPT-N3	509	老人	ろうじん	Noun	1.-old person; senior citizen; the aged; the elderly																			
JLPT-N3	510	愛する	あい	Suru verb - special class, Transitive verb	1.-to love																			
JLPT-N3	511	到着	とうちゃく	Noun, Suru verb, No-adjective	1.-arrival																			
JLPT-N3	512	満足	まんぞく	Na-adjective, Noun, Suru verb	1.-satisfaction; contentment; complacency	2.-sufficient; enough; adequate; proper																		
JLPT-N3	513	氏	し	Suffix	1.-Mr; Mrs; Ms; Miss	2.-clan	3.-he; him	4.-counter for people																
JLPT-N3	514	守る	まも	Godan verb with ru ending, Transitive verb	1.-to protect; to guard; to defend	2.-to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow																		
JLPT-N3	515	失う	うしな	Godan verb with u ending, Transitive verb	1.-to lose	2.-to miss (a change, opportunity)	3.-to lose (a loved one); to be bereaved of	4.-to concede (goals, points, etc.)																
JLPT-N3	516	下さる	くだ	Godan verb - aru special class	1.-to give; to confer; to bestow	2.-to kindly do for one; to oblige; to favour; to favor																		
JLPT-N3	517	只	ただ	No-adjective, Noun	1.-ordinary; common; usual	2.-free of charge	3.-unaffected; as is; safe	4.-only; merely; just; simply	5.-but; however; nevertheless															
JLPT-N3	518	方法	ほうほう	Noun	1.-method; process; manner; way; means; technique																			
JLPT-N3	519	無駄	無駄むだ	Noun, Na-adjective	1.-futility; waste; uselessness; pointlessness; idleness																			
JLPT-N3	520	援助	えんじょ	Noun, Suru verb	1.-assistance; aid; support																			
JLPT-N3	521	合格	ごうかく	Noun, Suru verb	1.-success; passing (e.g. exam); eligibility																			
JLPT-N3	522	許す	ゆる	Godan verb with su ending, Transitive verb	1.-to permit; to allow; to approve; to consent to	2.-to forgive; to pardon; to excuse; to tolerate	3.-to exempt (someone) from; to remit; to release; to let off	4.-to acknowledge; to admit	5.-to trust; to confide in; to let one's guard down	6.-to give up (points in a game, distance in a race, etc.); to yield														
JLPT-N3	523	帰宅	きたく	Noun, Suru verb	1.-returning home																			
JLPT-N3	524	世話	せわ	Noun, Suru verb	1.-looking after; help; aid; assistance																			
JLPT-N3	525	会合	かいごう	Noun, Suru verb	1.-meeting; assembly; gathering	2.-association	3.-conjunction																	
JLPT-N3	526	事件	じけん	Noun	1.-event; affair; incident; case; plot; trouble; scandal																			
JLPT-N3	527	お前	まえ	Pronoun	1.-you	2.-presence (of a god, nobleman, etc.)																		
JLPT-N3	528	議論	ぎろん	Noun, Suru verb	1.-argument; discussion; dispute; controversy																			
JLPT-N3	529	困難	こんなん	Noun, Na-adjective	1.-difficulty; hardship; trouble; distress	2.-infeasibility; inability (to carry out)																		
JLPT-N3	530	決心	けっしん	Noun, Suru verb	1.-determination; resolution																			
JLPT-N3	531	要求	ようきゅう	Noun, Suru verb	1.-demand; firm request; requisition; requirement; desire																			
JLPT-N3	532	駄目	だめ	Na-adjective, Noun	1.-no good; not serving its purpose; useless; broken	2.-hopeless; wasted; in vain; purposeless	3.-cannot; must not; not allowed	4.-neutral point (in go); intersection owned by neither player at the end of a game	5.-ダメ															
JLPT-N3	533	年間	ねんかん	Temporal noun	1.-(period of) a year	2.-during an era																		
JLPT-N3	534	休暇	きゅうか	Noun	1.-holiday; day off; furlough; absence (from work)																			
JLPT-N3	535	受け取る	うと	Godan verb with ru ending, Transitive verb	1.-to receive; to get; to accept	2.-to take; to interpret; to understand																		
JLPT-N3	536	結局	けっきょく	Adverb	1.-after all; in the end; ultimately; eventually	2.-conclusion; end	3.-end of a game of go, shogi, etc.																	
JLPT-N3	537	尊敬	そんけい	Noun, Suru verb	1.-respect; esteem; reverence; honour; honor																			
JLPT-N3	538	激しい	はげ	I-adjective	1.-violent; furious; tempestuous	2.-extreme; intense; fierce; strong	3.-fervent; vehement	4.-incessant; relentless	5.-precipitous; steep															
JLPT-N3	539	大いに	おお	Adverb	1.-very; much; greatly; a lot of																			
JLPT-N3	540	準備	じゅんび	Noun, Suru verb	1.-preparation; arrangements; getting ready; provision; setup; reserving																			
JLPT-N3	541	全然	ぜんぜん	Adverb	1.-(not) at all; (not) in the slightest	2.-wholly; entirely; completely; totally	3.-extremely; very																	
JLPT-N3	542	滞在	たいざい	Noun, Suru verb	1.-stay; sojourn																			
JLPT-N3	543	現れる	あらわ	Ichidan verb, intransitive verb	1.-to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise	2.-to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)																		
JLPT-N3	544	扱う	あつか	Godan verb with u ending, Transitive verb	1.-to deal with (a person); to treat; to handle; to take care of; to entertain	2.-to deal with (a problem); to handle; to manage	3.-to operate (e.g. a machine); to handle; to work	4.-to deal in; to sell	5.-to cover (a topic); to treat; to discuss; to take up	6.-to treat A as B	7.-to mediate (an argument)	8.-to be too much for one; to find unmanageable	9.-to gossip											
JLPT-N3	545	参加	さんか	Noun, Suru verb	1.-participation; joining; entry; adherence																			
JLPT-N3	546	実行	じっこう	Noun, Suru verb	1.-execution (e.g. of a plan); carrying out; practice; action; implementation; fulfillment; realization																			
JLPT-N3	547	離れる	はな	Ichidan verb, intransitive verb	1.-to be separated; to be apart; to be distant	2.-to leave; to go away	3.-to leave (a job, etc.); to quit; to give up	4.-to lose connection with; to drift away from																
JLPT-N3	548	貧しい	まず	I-adjective	1.-poor; needy	2.-lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate																		
JLPT-N3	549	偉大	いだい	Na-adjective	1.-great; grand; magnificent; outstanding; mighty																			
JLPT-N3	550	望む	のぞ	Godan verb with mu ending, Transitive verb	1.-to desire	2.-to wish for; to expect	3.-to see; to command (a view of)																	
JLPT-N3	551	修理	しゅうり	Noun, Suru verb	1.-repair; mending; fixing; servicing																			
JLPT-N3	552	誤り	あやま	Noun	1.-error; mistake; slip; bug																			
JLPT-N3	553	目的	もくてき	Noun	1.-purpose; goal; aim; objective; intention																			
JLPT-N3	554	感謝	かんしゃ	Noun, Suru verb	1.-thanks; gratitude																			
JLPT-N3	555	示す	しめ	Godan verb with su ending, Transitive verb	1.-to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent	2.-to point out (finger, clock hand, needle, etc.)	3.-to indicate; to show; to represent; to signify; to display																	
JLPT-N3	556	人気	にんき	Noun, No-adjective, Na-adjective	1.-popularity; public favor	2.-condition (e.g. market); tone; character; nature																		
